                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.84397,                0.45374,                0.94645,                0.99197,                      1,                  0.995,                0.68894,                0.89925,                0.46352,                 1.1111,              0.0015458,              0.0015458,              0.0015458
                     83,                 0.7931,                0.45038,                 1.0421,                0.99197,                      1,                  0.995,                0.68894,                0.89925,                0.46352,                 1.1111,              0.0015443,              0.0015443,              0.0015443
                     84,                0.83507,                0.46131,                 1.0047,                0.99102,                      1,                  0.995,                0.69205,                0.90829,                0.42737,                 1.1207,              0.0015428,              0.0015428,              0.0015428
                     85,                 0.8212,                0.47354,                 1.0378,                0.99102,                      1,                  0.995,                0.69205,                0.90829,                0.42737,                 1.1207,              0.0015413,              0.0015413,              0.0015413
                     86,                0.82517,                0.44172,                0.95257,                0.99373,                      1,                  0.995,                0.69337,                0.95161,                0.41784,                 1.1377,              0.0015398,              0.0015398,              0.0015398
                     87,                0.92548,                0.49653,                0.94645,                0.99373,                      1,                  0.995,                0.69337,                0.95161,                0.41784,                 1.1377,              0.0015382,              0.0015382,              0.0015382
                     88,                0.83406,                 0.4582,                 1.0259,                0.99183,                      1,                  0.995,                0.69635,                0.91724,                0.41259,                 1.1085,              0.0015367,              0.0015367,              0.0015367
                     89,                0.83808,                0.48447,                 1.1507,                0.99183,                      1,                  0.995,                0.69635,                0.91724,                0.41259,                 1.1085,              0.0015352,              0.0015352,              0.0015352
                     90,                0.93216,                0.45489,                 1.0106,                 0.9935,                      1,                  0.995,                0.69665,                0.91161,                0.40575,                 1.0937,              0.0015337,              0.0015337,              0.0015337
                     91,                0.81137,                0.45141,                 1.0003,                 0.9935,                      1,                  0.995,                0.69665,                0.91161,                0.40575,                 1.0937,              0.0015322,              0.0015322,              0.0015322
                     92,                0.77622,                0.40895,                0.99401,                0.99257,                      1,                  0.995,                0.70597,                0.95643,                 0.4381,                 1.1256,              0.0015307,              0.0015307,              0.0015307
                     93,                 1.0284,                0.49224,                 1.0704,                0.99257,                      1,                  0.995,                0.70597,                0.95643,                 0.4381,                 1.1256,              0.0015291,              0.0015291,              0.0015291
                     94,                0.89833,                0.44173,                0.98487,                0.99124,                      1,                  0.995,                0.71086,                0.89375,                0.41778,                 1.0845,              0.0015276,              0.0015276,              0.0015276
                     95,                 0.8579,                0.44536,                 1.0634,                0.99124,                      1,                  0.995,                0.71086,                0.89375,                0.41778,                 1.0845,              0.0015261,              0.0015261,              0.0015261
                     96,                0.87117,                0.42434,                  1.049,                0.99148,                0.99928,                 0.9949,                0.71001,                0.86037,                0.38991,                  1.063,              0.0015246,              0.0015246,              0.0015246
                     97,                0.90868,                0.44006,                0.99931,                0.99148,                0.99928,                 0.9949,                0.71001,                0.86037,                0.38991,                  1.063,              0.0015231,              0.0015231,              0.0015231
                     98,                 0.8324,                0.42592,                0.96329,                0.98809,                      1,                 0.9948,                0.70006,                0.89724,                0.42526,                 1.0936,              0.0015216,              0.0015216,              0.0015216
                     99,                0.93556,                0.44043,                 1.0321,                0.98809,                      1,                 0.9948,                0.70006,                0.89724,                0.42526,                 1.0936,              0.0015201,              0.0015201,              0.0015201
                    100,                0.71624,                0.39287,                0.98721,                0.98977,                      1,                 0.9947,                0.67622,                0.97179,                0.47502,                 1.1438,              0.0015185,              0.0015185,              0.0015185
                    101,                0.76002,                0.42354,                 0.9758,                0.98977,                      1,                 0.9947,                0.67622,                0.97179,                0.47502,                 1.1438,               0.001517,               0.001517,               0.001517
                    102,                 0.8942,                 0.4434,                 1.0003,                0.99256,                      1,                0.99465,                0.68495,                0.95292,                 0.4352,                 1.1211,              0.0015155,              0.0015155,              0.0015155
                    103,                0.88105,                0.45427,                 1.0473,                0.99256,                      1,                0.99465,                0.68495,                0.95292,                 0.4352,                 1.1211,               0.001514,               0.001514,               0.001514
                    104,                0.85391,                 0.4225,                0.95508,                0.98825,                      1,                0.99363,                0.69585,                0.92663,                0.41327,                 1.1141,              0.0015125,              0.0015125,              0.0015125
                    105,                0.94607,                0.48121,                 1.0187,                0.98825,                      1,                0.99363,                0.69585,                0.92663,                0.41327,                 1.1141,               0.001511,               0.001511,               0.001511
                    106,                0.89895,                 0.4363,                 1.0499,                0.98383,                      1,                 0.9945,                0.70055,                 0.8753,                0.42818,                 1.0771,              0.0015095,              0.0015095,              0.0015095
